Date,Client name,Order Quantity,Material
2/3/2020,c1,46,12293726
2/3/2020,c1,14,12311239
2/7/2020,c1,13,12246757
2/7/2020,c1,14,11250398
2/7/2020,c1,0,11250398
2/7/2020,c1,23,12246749
2/7/2020,c1,3,12412450
2/7/2020,c1,9,12412443
2/7/2020,c1,1,12412438
2/7/2020,c1,3,12412444
2/7/2020,c1,43,12366065
2/7/2020,c1,18,12407292
2/7/2020,c1,9,12191186
2/7/2020,c1,15,12349854
2/7/2020,c1,13,12350033
2/7/2020,c1,10,12230524
2/7/2020,c1,17,12246726
2/7/2020,c1,6,12322423
2/7/2020,c1,7,12366008
2/7/2020,c1,1,12407294
2/7/2020,c1,10,12350042
2/7/2020,c1,6,12320372
2/7/2020,c1,13,12381483
2/7/2020,c1,64,12412256
2/7/2020,c1,17,12293725
2/7/2020,c1,47,12293726
2/7/2020,c1,6,12311239
2/7/2020,c1,33,12208317
2/7/2020,c1,11,12311236
2/7/2020,c1,25,12322313
2/7/2020,c1,5,12322315
2/7/2020,c1,9,12321166
2/7/2020,c1,15,12349828
2/7/2020,c1,3,12311261
2/7/2020,c1,70,12397826
2/7/2020,c1,9,12353675
2/7/2020,c1,29,12349826
2/7/2020,c1,5,12349829
2/10/2020,c1,38,12246757
2/10/2020,c1,18,12095328
2/10/2020,c1,91,12095075
2/10/2020,c1,45,11250398
2/10/2020,c1,68,12131456
2/10/2020,c1,0,12131456
2/10/2020,c1,16,12246746
2/10/2020,c1,28,12246749
2/10/2020,c1,5,12412450
2/10/2020,c1,18,12412443
2/10/2020,c1,10,12412439
2/10/2020,c1,3,12412438
2/10/2020,c1,6,12412444
2/10/2020,c1,96,12262742
2/10/2020,c1,78,12366065
2/10/2020,c1,4,12407292
2/10/2020,c1,21,12191186
2/10/2020,c1,13,12350033
2/10/2020,c1,26,12230523
2/10/2020,c1,12,12230524
2/10/2020,c1,43,12246726
2/10/2020,c1,10,12322423
2/10/2020,c1,23,12366008
2/10/2020,c1,11,12407294
2/10/2020,c1,35,12381483
2/10/2020,c1,81,12412256
2/10/2020,c1,36,12293725
2/10/2020,c1,71,12293726
2/10/2020,c1,19,12311239
2/10/2020,c1,80,12311288
2/10/2020,c1,13,12311236
2/10/2020,c1,6,12322313
2/10/2020,c1,4,12322315
2/10/2020,c1,7,12311261
2/10/2020,c1,19,12322319
2/10/2020,c1,9,12322345
12/23/2019,c1,21,12246757
12/23/2019,c1,18,12095328
12/23/2019,c1,61,12095075
12/23/2019,c1,6,11250398
12/23/2019,c1,34,12131456
12/23/2019,c1,16,12246746
12/23/2019,c1,4,12246749
12/23/2019,c1,1,12412450
12/23/2019,c1,6,12412443
12/23/2019,c1,5,12412439
12/23/2019,c1,2,12412438
12/23/2019,c1,3,12412444
12/23/2019,c1,32,12262742
12/23/2019,c1,104,12366065
12/23/2019,c1,40,12407292
12/23/2019,c1,10,12191186
12/23/2019,c1,15,12349854
12/23/2019,c1,4,12350033
12/23/2019,c1,59,12230523
12/23/2019,c1,12,12230524
12/23/2019,c1,64,12246726
12/23/2019,c1,7,12322423
12/23/2019,c1,4,12366008
12/23/2019,c1,1,12350042
12/23/2019,c1,12,12381483
12/23/2019,c1,32,12412256
12/23/2019,c1,25,12293725
12/23/2019,c1,11,12293726
12/23/2019,c1,4,12366033
12/23/2019,c1,5,12311239
12/23/2019,c1,16,12311288
12/23/2019,c1,22,12311236
12/23/2019,c1,10,12322313
12/23/2019,c1,15,12322315
12/23/2019,c1,24,12349828
12/23/2019,c1,13,12311261
12/23/2019,c1,45,12397826
12/23/2019,c1,22,12349826
12/23/2019,c1,34,12349829
12/23/2019,c1,4,12322319
12/23/2019,c1,9,12322345
12/23/2019,c1,104,12246740
12/23/2019,c1,105,12246741
12/23/2019,c1,34,12404607
12/23/2019,c1,19,12305026
12/23/2019,c1,25,12404645
12/23/2019,c1,34,12404646
12/23/2019,c1,20,9523321
12/23/2019,c1,11,12305024
12/23/2019,c1,2,12305025
12/23/2019,c1,9,12305014
12/23/2019,c1,23,12404643
12/23/2019,c1,6,12404650
12/23/2019,c1,37,12159939
12/23/2019,c1,85,12404641
12/23/2019,c1,32,12404640
12/23/2019,c1,11,12322584
12/23/2019,c1,7,12322585
12/23/2019,c1,52,12322587
12/23/2019,c1,4,12306465
12/23/2019,c1,5,12366017
12/23/2019,c1,6,12412292
12/23/2019,c1,5,12320397
12/23/2019,c1,3,12349855
12/23/2019,c1,3,12349852
12/23/2019,c1,2,12350032
12/23/2019,c1,37,12407348
12/23/2019,c1,24,12407460
12/23/2019,c1,24,12409855
12/23/2019,c1,24,12407347
12/23/2019,c1,15,12407346
12/23/2019,c1,24,12407637
12/23/2019,c1,40,12407354
12/23/2019,c1,17,12407811
12/23/2019,c1,17,12407812
12/23/2019,c1,17,12407889
12/23/2019,c1,100,12407749
12/23/2019,c1,60,12407633
12/23/2019,c1,40,12407750
12/23/2019,c1,40,12409893
12/23/2019,c1,40,12407751
12/23/2019,c1,30,12407596
12/23/2019,c1,30,12407597
12/23/2019,c1,15,12407430
12/23/2019,c1,8,12407454
12/23/2019,c1,168,12395526
12/23/2019,c1,64,415841
12/23/2019,c1,210,12395525
12/23/2019,c1,70,12394956
12/23/2019,c1,72,12280926
12/23/2019,c1,1,12078564
12/23/2019,c1,196,12304755
12/23/2019,c1,50,12263948
12/23/2019,c1,66,12271469
12/23/2019,c1,16,12321939
12/23/2019,c1,24,12232429
12/23/2019,c1,48,12204860
12/23/2019,c1,108,12293783
12/23/2019,c1,108,12293891
12/23/2019,c1,80,12293765
12/23/2019,c1,80,12293763
12/23/2019,c1,80,12293764
12/23/2019,c1,24,12382680
12/23/2019,c1,36,12382681
12/23/2019,c1,24,12382684
12/23/2019,c1,36,12382668
12/23/2019,c1,140,12159762
12/23/2019,c1,80,12322613
12/23/2019,c1,10,12322608
12/23/2019,c1,36,12362664
